id,in_node,out_node,semantic_type,processid,sequence,priority,type
0,1.1,2.1,肯定+本人,benrenshoucui,1.0,,1.0
2,1.1,2.2,否定+非本人+关联人+非关联人,benrenshoucui,2.0,,1.0
3,2.1,3.1,不认可金额,benrenshoucui,3.0,,1.0
4,2.1,3.2,肯定+清楚借款+同意今日还款+同意明日还款+不同意今日还款+不同意明日还款,benrenshoucui,4.0,,1.0
5,2.1,3.4,否定+不清楚借款+遗忘语境,benrenshoucui,5.0,,1.0
6,2.2,3.5,肯定+关联人+同意转告,benrenshoucui,6.0,,1.0
7,2.2,3.6,否定+非关联人+不同意转告,benrenshoucui,7.0,,1.0
8,3.2,5.1,肯定+同意今日还款,benrenshoucui,8.0,,1.0
9,3.2,4.2,否定+不同意今日还款+同意明日还款,benrenshoucui,9.0,,1.0
10,3.4,4.4,肯定+清楚借款+回忆起借款+同意今日还款+同意明日还款+不同意今日还款+不同意明日还款,benrenshoucui,10.0,,1.0
11,3.4,4.5,否定+不清楚借款+遗忘语境,benrenshoucui,11.0,,1.0
12,3.5,4.6,肯定+同意转告,benrenshoucui,12.0,,1.0
13,3.5,4.7,否定+不同意转告+非关联人,benrenshoucui,13.0,,1.0
14,4.2,6.1,肯定+同意明日还款+同意今日还款,benrenshoucui,14.0,,1.0
15,4.2,5.4,否定+不同意明日还款,benrenshoucui,15.0,,1.0
16,4.4,6.3,肯定+同意今日还款,benrenshoucui,16.0,,1.0
17,4.4,5.6,否定+不同意今日还款,benrenshoucui,17.0,,1.0
18,5.6,7.1,肯定+同意明日还款+同意今日还款,benrenshoucui,18.0,,1.0
19,5.6,6.6,否定+不同意明日还款,benrenshoucui,19.0,,1.0
20,1.1,z_askcompany,询问机构,benrenshoucui,,1.0,2.0
21,2.1,z_askcompany,询问机构,benrenshoucui,,1.0,2.0
22,2.2,z_askcompany,询问机构,benrenshoucui,,1.0,2.0
23,3.2,z_askcompany,询问机构,benrenshoucui,,1.0,2.0
24,3.4,z_askcompany,询问机构,benrenshoucui,,1.0,2.0
25,3.5,z_askcompany,询问机构,benrenshoucui,,1.0,2.0
26,4.2,z_askcompany,询问机构,benrenshoucui,,1.0,2.0
27,4.4,z_askcompany,询问机构,benrenshoucui,,1.0,2.0
28,5.6,z_askcompany,询问机构,benrenshoucui,,1.0,2.0
29,1.1,z_askmoney,询问金额,benrenshoucui,,2.0,2.0
30,2.1,z_askmoney,询问金额,benrenshoucui,,2.0,2.0
31,2.2,z_askmoney,询问金额,benrenshoucui,,2.0,2.0
32,3.2,z_askmoney,询问金额,benrenshoucui,,2.0,2.0
33,3.4,z_askmoney,询问金额,benrenshoucui,,2.0,2.0
34,3.5,z_askmoney,询问金额,benrenshoucui,,2.0,2.0
35,4.2,z_askmoney,询问金额,benrenshoucui,,2.0,2.0
36,4.4,z_askmoney,询问金额,benrenshoucui,,2.0,2.0
37,5.6,z_askmoney,询问金额,benrenshoucui,,2.0,2.0
38,1.1,z_asktime,询问时间,benrenshoucui,,3.0,2.0
39,2.1,z_asktime,询问时间,benrenshoucui,,3.0,2.0
40,2.2,z_asktime,询问时间,benrenshoucui,,3.0,2.0
41,3.2,z_asktime,询问时间,benrenshoucui,,3.0,2.0
42,3.4,z_asktime,询问时间,benrenshoucui,,3.0,2.0
43,3.5,z_asktime,询问时间,benrenshoucui,,3.0,2.0
44,4.2,z_asktime,询问时间,benrenshoucui,,3.0,2.0
45,4.4,z_asktime,询问时间,benrenshoucui,,3.0,2.0
46,5.6,z_asktime,询问时间,benrenshoucui,,3.0,2.0
47,1.1,m_paid,已还款+询问能否自动扣款,benrenshoucui,,1.0,3.0
48,2.1,m_paid,已还款+询问能否自动扣款,benrenshoucui,,1.0,3.0
49,2.2,m_paid,已还款+询问能否自动扣款,benrenshoucui,,1.0,3.0
50,3.2,m_paid,已还款+询问能否自动扣款,benrenshoucui,,1.0,3.0
51,3.4,m_paid,已还款+询问能否自动扣款,benrenshoucui,,1.0,3.0
52,3.5,m_paid,已还款+询问能否自动扣款,benrenshoucui,,1.0,3.0
53,4.2,m_paid,已还款+询问能否自动扣款,benrenshoucui,,1.0,3.0
54,4.4,m_paid,已还款+询问能否自动扣款,benrenshoucui,,1.0,3.0
55,5.6,m_paid,已还款+询问能否自动扣款,benrenshoucui,,1.0,3.0
56,1.1,-99,无效语义,benrenshoucui,,,4.0
57,2.1,-99,无效语义,benrenshoucui,,,4.0
58,2.2,-99,无效语义,benrenshoucui,,,4.0
59,3.2,-99,无效语义,benrenshoucui,,,4.0
60,3.4,-99,无效语义,benrenshoucui,,,4.0
61,3.5,-99,无效语义,benrenshoucui,,,4.0
62,4.2,-99,无效语义,benrenshoucui,,,4.0
63,4.4,-99,无效语义,benrenshoucui,,,4.0
64,5.6,-99,无效语义,benrenshoucui,,,4.0
65,1.1,2.1,肯定+本人,benrenzaicui,,,1.0
66,1.1,2.2,否定+非本人+关联人+非关联人,benrenzaicui,,,1.0
67,2.1,3.1,肯定+清楚借款+同意今日还款+同意明日还款+不同意今日还款+不同意明日还款+未还款原因,benrenzaicui,,,1.0
68,2.2,3.3,肯定+关联人+同意转告,benrenzaicui,,,1.0
69,2.2,3.4,否定+非关联人+不同意转告,benrenzaicui,,,1.0
70,3.1,4.1,肯定+同意今日还款+同意明日还款,benrenzaicui,,,1.0
71,3.1,4.2,否定+不同意今日还款+不同意明日还款,benrenzaicui,,,1.0
72,3.3,4.3,肯定+同意转告,benrenzaicui,,,1.0
73,3.3,4.4,否定+不同意转告,benrenzaicui,,,1.0
74,4.2,5.1,肯定+同意今日还款+同意明日还款,benrenzaicui,,,1.0
75,4.2,5.2,否定+不同意明日还款,benrenzaicui,,,1.0
76,5.1,6.1,肯定+同意今日还款+同意今日还款+确认还款,benrenzaicui,,,1.0
77,5.1,6.2,否定+不同意明日还款+确认还款失败,benrenzaicui,,,1.0
78,1.1,z_askcompany,询问机构,benrenzaicui,,,2.0
79,2.1,z_askcompany,询问机构,benrenzaicui,,,2.0
80,2.2,z_askcompany,询问机构,benrenzaicui,,,2.0
81,3.1,z_askcompany,询问机构,benrenzaicui,,,2.0
82,3.3,z_askcompany,询问机构,benrenzaicui,,,2.0
83,4.2,z_askcompany,询问机构,benrenzaicui,,,2.0
84,5.1,z_askcompany,询问机构,benrenzaicui,,,2.0
85,1.1,z_askmoney,询问金额,benrenzaicui,,,2.0
86,2.1,z_askmoney,询问金额,benrenzaicui,,,2.0
87,2.2,z_askmoney,询问金额,benrenzaicui,,,2.0
88,3.1,z_askmoney,询问金额,benrenzaicui,,,2.0
89,3.3,z_askmoney,询问金额,benrenzaicui,,,2.0
90,4.2,z_askmoney,询问金额,benrenzaicui,,,2.0
91,5.1,z_askmoney,询问金额,benrenzaicui,,,2.0
92,1.1,z_asktime,询问时间,benrenzaicui,,,2.0
93,2.1,z_asktime,询问时间,benrenzaicui,,,2.0
94,2.2,z_asktime,询问时间,benrenzaicui,,,2.0
95,3.1,z_asktime,询问时间,benrenzaicui,,,2.0
96,3.3,z_asktime,询问时间,benrenzaicui,,,2.0
97,4.2,z_asktime,询问时间,benrenzaicui,,,2.0
98,5.1,z_asktime,询问时间,benrenzaicui,,,2.0
99,1.1,m_paid,已还款+询问能否自动扣款,benrenzaicui,,,3.0
100,2.1,m_paid,已还款+询问能否自动扣款,benrenzaicui,,,3.0
101,2.2,m_paid,已还款+询问能否自动扣款,benrenzaicui,,,3.0
102,3.1,m_paid,已还款+询问能否自动扣款,benrenzaicui,,,3.0
103,3.3,m_paid,已还款+询问能否自动扣款,benrenzaicui,,,3.0
104,4.2,m_paid,已还款+询问能否自动扣款,benrenzaicui,,,3.0
105,5.1,m_paid,已还款+询问能否自动扣款,benrenzaicui,,,3.0
106,1.1,-99,无效语义,benrenzaicui,,,4.0
107,2.1,-99,无效语义,benrenzaicui,,,4.0
108,2.2,-99,无效语义,benrenzaicui,,,4.0
109,3.1,-99,无效语义,benrenzaicui,,,4.0
110,3.3,-99,无效语义,benrenzaicui,,,4.0
111,4.2,-99,无效语义,benrenzaicui,,,4.0
112,5.1,-99,无效语义,benrenzaicui,,,4.0
113,1.1,2.1,肯定+本人,dianhe,,,1.0
114,1.1,2.2,否定+非本人+关联人+非关联人,dianhe,,,1.0
115,2.1,3.1,肯定+本人签字,dianhe,,,1.0
116,2.1,3.2,否定+否认签字+关联人签字,dianhe,,,1.0
117,2.2,3.3,肯定+关联人,dianhe,,,1.0
118,2.2,3.4,否定+非关联人,dianhe,,,1.0
119,3.1,4.1,肯定+本人签字,dianhe,,,1.0
120,3.1,4.2,否定+关联人+关联人签字+否认签字,dianhe,,,1.0
121,3.2,4.3,肯定+关联人+关联人签字+本人签字,dianhe,,,1.0
122,3.2,4.4,否定+否认签字,dianhe,,,1.0
123,3.3,4.5,肯定+关联人,dianhe,,,1.0
124,3.3,4.6,否定+非关联人,dianhe,,,1.0
125,4.2,5.1,肯定+关联人+关联人签字+本人签字,dianhe,,,1.0
126,4.2,5.2,否定+否认签字,dianhe,,,1.0
127,4.5,5.3,肯定+本人签字,dianhe,,,1.0
128,4.5,5.4,否定+否认签字,dianhe,,,1.0
129,1.1,z_askcompany,询问机构,dianhe,,,2.0
130,2.1,z_askcompany,询问机构,dianhe,,,2.0
131,2.2,z_askcompany,询问机构,dianhe,,,2.0
132,3.1,z_askcompany,询问机构,dianhe,,,2.0
133,3.2,z_askcompany,询问机构,dianhe,,,2.0
134,3.3,z_askcompany,询问机构,dianhe,,,2.0
135,4.2,z_askcompany,询问机构,dianhe,,,2.0
136,4.5,z_askcompany,询问机构,dianhe,,,2.0
137,2.1,m_forget,遗忘语境,dianhe,,,3.0
138,2.2,m_forget,遗忘语境,dianhe,,,3.0
139,3.1,m_forget,遗忘语境,dianhe,,,3.0
140,3.2,m_forget,遗忘语境,dianhe,,,3.0
141,3.3,m_forget,遗忘语境,dianhe,,,3.0
142,4.2,m_forget,遗忘语境,dianhe,,,3.0
143,4.5,m_forget,遗忘语境,dianhe,,,3.0
144,1.1,z_clarify,澄清,dianhe,,,2.0
145,2.1,z_clarify,澄清,dianhe,,,2.0
146,3.2,z_clarify,澄清,dianhe,,,2.0
147,3.1,z_clarify,澄清,dianhe,,,2.0
148,2.2,z_clarify,澄清,dianhe,,,2.0
149,3.3,z_clarify,澄清,dianhe,,,2.0
150,4.2,z_clarify,澄清,dianhe,,,2.0
151,4.5,z_clarify,澄清,dianhe,,,2.0
152,2.2,2.1,跳转本人,dianhe,,,1.0
153,3.3,2.1,跳转本人,dianhe,,,1.0
154,2.1,2.2,跳转非本人,dianhe,,,1.0
155,1.1,-99,无效语义,dianhe,,,4.0
156,2.1,-99,无效语义,dianhe,,,4.0
157,3.1,-99,无效语义,dianhe,,,4.0
158,2.2,-99,无效语义,dianhe,,,4.0
159,3.2,-99,无效语义,dianhe,,,4.0
160,3.3,-99,无效语义,dianhe,,,4.0
161,4.2,-99,无效语义,dianhe,,,4.0
162,4.5,-99,无效语义,dianhe,,,4.0
163,1.1,2.1,已办理,yingxiao-neibu,,,1.0
164,1.1,2.2,拒绝+拒绝办理+肯定,yingxiao-neibu,,,1.0
165,1.1,2.3,未办理+否定+同意+同意办理,yingxiao-neibu,,,1.0
166,2.2,3.1,肯定+同意+同意办理,yingxiao-neibu,,,1.0
167,2.2,3.2,否定+拒绝+拒绝办理+已办理,yingxiao-neibu,,,1.0
168,2.3,3.3,肯定+同意+同意办理,yingxiao-neibu,,,1.0
169,2.3,3.4,已办理,yingxiao-neibu,,,1.0
170,2.3,3.5,否定+拒绝+拒绝办理,yingxiao-neibu,,,1.0
171,3.5,4.1,肯定+同意+同意办理,yingxiao-neibu,,,1.0
172,3.5,4.2,否定+拒绝+拒绝办理+已办理,yingxiao-neibu,,,1.0
173,1.1,z_askcompany,询问机构+澄清,yingxiao-neibu,,,2.0
174,2.2,z_askcompany,询问机构+澄清,yingxiao-neibu,,,2.0
175,2.3,z_askcompany,询问机构+澄清,yingxiao-neibu,,,2.0
176,3.5,z_askcompany,询问机构+澄清,yingxiao-neibu,,,2.0
177,1.1,z_askaddress,询问地址,yingxiao-neibu,,,2.0
178,2.2,z_askaddress,询问地址,yingxiao-neibu,,,2.0
179,2.3,z_askaddress,询问地址,yingxiao-neibu,,,2.0
180,3.5,z_askaddress,询问地址,yingxiao-neibu,,,2.0
181,1.1,z_askfraud,询问欺诈,yingxiao-neibu,,,2.0
182,2.2,z_askfraud,询问欺诈,yingxiao-neibu,,,2.0
183,2.3,z_askfraud,询问欺诈,yingxiao-neibu,,,2.0
184,3.5,z_askfraud,询问欺诈,yingxiao-neibu,,,2.0
185,1.1,z_askinfo,询问信息源,yingxiao-neibu,,,2.0
186,2.2,z_askinfo,询问信息源,yingxiao-neibu,,,2.0
187,2.3,z_askinfo,询问信息源,yingxiao-neibu,,,2.0
188,3.5,z_askinfo,询问信息源,yingxiao-neibu,,,2.0
189,1.1,m_busy,在忙语境,yingxiao-neibu,,,3.0
190,2.2,m_busy,在忙语境,yingxiao-neibu,,,3.0
191,2.3,m_busy,在忙语境,yingxiao-neibu,,,3.0
192,3.5,m_busy,在忙语境,yingxiao-neibu,,,3.0
193,2.2,m_complain,投诉语境,yingxiao-neibu,,,3.0
194,1.1,m_complain,投诉语境,yingxiao-neibu,,,3.0
195,2.3,m_complain,投诉语境,yingxiao-neibu,,,3.0
196,3.5,m_complain,投诉语境,yingxiao-neibu,,,3.0
197,1.1,-99,无效语义,yingxiao-neibu,,,4.0
198,2.2,-99,无效语义,yingxiao-neibu,,,4.0
199,2.3,-99,无效语义,yingxiao-neibu,,,4.0
200,3.5,-99,无效语义,yingxiao-neibu,,,4.0
201,1.1,2.1,肯定+同意+同意办理,360yingxiao,,,1.0
202,1.1,2.2,拒绝+拒绝办理+否定,360yingxiao,,,1.0
203,2.1,3.1,肯定+同意+同意办理+未办理,360yingxiao,,,1.0
204,2.1,3.2,拒绝+拒绝办理+否定,360yingxiao,,,1.0
205,2.2,3.3,肯定+同意+同意办理+未办理,360yingxiao,,,1.0
206,2.2,3.4,拒绝+拒绝办理+否定,360yingxiao,,,1.0
207,1.1,z_askcompany,询问机构+澄清,360yingxiao,,,2.0
208,2.1,z_askcompany,询问机构+澄清,360yingxiao,,,2.0
209,2.2,z_askcompany,询问机构+澄清,360yingxiao,,,2.0
210,1.1,z_askaddress,询问地址,360yingxiao,,,2.0
211,2.1,z_askaddress,询问地址,360yingxiao,,,2.0
212,2.2,z_askaddress,询问地址,360yingxiao,,,2.0
213,1.1,z_askfraud,询问欺诈,360yingxiao,,,2.0
214,2.1,z_askfraud,询问欺诈,360yingxiao,,,2.0
215,2.2,z_askfraud,询问欺诈,360yingxiao,,,2.0
216,1.1,z_askinfo,询问信息源,360yingxiao,,,2.0
217,2.1,z_askinfo,询问信息源,360yingxiao,,,2.0
218,2.2,z_askinfo,询问信息源,360yingxiao,,,2.0
219,1.1,z_askcredit,询问额度,360yingxiao,,,2.0
220,2.1,z_askcredit,询问额度,360yingxiao,,,2.0
221,2.2,z_askcredit,询问额度,360yingxiao,,,2.0
222,1.1,z_askprice,询问费用,360yingxiao,,,2.0
223,2.1,z_askprice,询问费用,360yingxiao,,,2.0
224,2.2,z_askprice,询问费用,360yingxiao,,,2.0
225,1.1,m_busy,在忙语境,360yingxiao,,,3.0
226,2.1,m_busy,在忙语境,360yingxiao,,,3.0
227,2.2,m_busy,在忙语境,360yingxiao,,,3.0
228,1.1,m_complain,投诉语境,360yingxiao,,,3.0
229,2.1,m_complain,投诉语境,360yingxiao,,,3.0
230,2.2,m_complain,投诉语境,360yingxiao,,,3.0
231,1.1,z_askrate,询问利率,360yingxiao,,,2.0
232,2.1,z_askrate,询问利率,360yingxiao,,,2.0
233,2.2,z_askrate,询问利率,360yingxiao,,,2.0
234,1.1,-99,无效语义,360yingxiao,,,4.0
235,2.1,-99,无效语义,360yingxiao,,,4.0
236,2.2,-99,无效语义,360yingxiao,,,4.0
237,1.1,2.1,肯定+本人,dianxincuishou,,,1.0
238,1.1,2.2,否定+非本人+关联人+非关联人,dianxincuishou,,,1.0
239,2.1,3.1,肯定+清楚借款+同意今日还款+同意明日还款,dianxincuishou,,,1.0
240,2.1,3.2,否定+不清楚借款+遗忘语境+不同意今日还款+不同意明日还款,dianxincuishou,,,1.0
241,2.2,3.3,肯定+关联人+同意转告,dianxincuishou,,,1.0
242,2.2,3.4,否定+非关联人+不同意转告,dianxincuishou,,,1.0
243,2.2,3.6,否定+非关联人+不同意转告,dianxincuishou,,,1.0
244,3.2,4.1,肯定+清楚借款+同意今日还款+同意明日还款,dianxincuishou,,,1.0
245,3.2,4.2,否定+不同意今日还款+不清楚借款+遗忘语境+不同意明日还款,dianxincuishou,,,1.0
246,3.3,4.3,肯定+同意转告,dianxincuishou,,,1.0
247,3.3,4.4,否定+不同意转告+非关联人,dianxincuishou,,,1.0
248,1.1,z_askcompany,询问机构,dianxincuishou,,,2.0
249,2.1,z_askcompany,询问机构,dianxincuishou,,,2.0
250,2.2,z_askcompany,询问机构,dianxincuishou,,,2.0
251,3.2,z_askcompany,询问机构,dianxincuishou,,,2.0
252,3.3,z_askcompany,询问机构,dianxincuishou,,,2.0
253,1.1,z_askrobot,询问机器人,dianxincuishou,,,2.0
254,2.1,z_askrobot,询问机器人,dianxincuishou,,,2.0
255,2.2,z_askrobot,询问机器人,dianxincuishou,,,2.0
256,3.2,z_askrobot,询问机器人,dianxincuishou,,,2.0
257,3.3,z_askrobot,询问机器人,dianxincuishou,,,2.0
258,1.1,m_paid,已还款,dianxincuishou,,,3.0
259,2.1,m_paid,已还款,dianxincuishou,,,3.0
260,2.2,m_paid,已还款,dianxincuishou,,,3.0
261,3.2,m_paid,已还款,dianxincuishou,,,3.0
262,3.3,m_paid,已还款,dianxincuishou,,,3.0
263,1.1,m_close,已停用,dianxincuishou,,,3.0
264,2.1,m_close,已停用,dianxincuishou,,,3.0
265,2.2,m_close,已停用,dianxincuishou,,,3.0
266,3.2,m_close,已停用,dianxincuishou,,,3.0
267,3.3,m_close,已停用,dianxincuishou,,,3.0
268,1.1,-99,无效语义,dianxincuishou,,,4.0
269,2.1,-99,无效语义,dianxincuishou,,,4.0
270,2.2,-99,无效语义,dianxincuishou,,,4.0
271,3.2,-99,无效语义,dianxincuishou,,,4.0
272,3.3,-99,无效语义,dianxincuishou,,,4.0
273,1.1,2.1,肯定+同意+同意办理,yingxiao-yangqianguan,,,1.0
274,1.1,2.2,拒绝+拒绝办理+否定,yingxiao-yangqianguan,,,1.0
275,2.1,3.1,肯定+同意+同意办理+未办理,yingxiao-yangqianguan,,,1.0
276,2.1,3.2,拒绝+拒绝办理+否定,yingxiao-yangqianguan,,,1.0
277,2.2,3.3,肯定+同意+同意办理+未办理,yingxiao-yangqianguan,,,1.0
278,2.2,3.4,拒绝+拒绝办理+否定,yingxiao-yangqianguan,,,1.0
279,1.1,z_askcompany,询问机构+澄清,yingxiao-yangqianguan,,,2.0
280,2.1,z_askcompany,询问机构+澄清,yingxiao-yangqianguan,,,2.0
281,2.2,z_askcompany,询问机构+澄清,yingxiao-yangqianguan,,,2.0
282,1.1,z_askaddress,询问地址,yingxiao-yangqianguan,,,2.0
283,2.1,z_askaddress,询问地址,yingxiao-yangqianguan,,,2.0
284,2.2,z_askaddress,询问地址,yingxiao-yangqianguan,,,2.0
285,1.1,z_askfraud,询问欺诈,yingxiao-yangqianguan,,,2.0
286,2.1,z_askfraud,询问欺诈,yingxiao-yangqianguan,,,2.0
287,2.2,z_askfraud,询问欺诈,yingxiao-yangqianguan,,,2.0
288,1.1,z_askinfo,询问信息源,yingxiao-yangqianguan,,,2.0
289,2.1,z_askinfo,询问信息源,yingxiao-yangqianguan,,,2.0
290,2.2,z_askinfo,询问信息源,yingxiao-yangqianguan,,,2.0
291,1.1,z_askcredit,询问额度,yingxiao-yangqianguan,,,2.0
292,2.1,z_askcredit,询问额度,yingxiao-yangqianguan,,,2.0
293,2.2,z_askcredit,询问额度,yingxiao-yangqianguan,,,2.0
294,1.1,m_busy,在忙语境,yingxiao-yangqianguan,,,3.0
295,2.1,m_busy,在忙语境,yingxiao-yangqianguan,,,3.0
296,2.2,m_busy,在忙语境,yingxiao-yangqianguan,,,3.0
297,1.1,m_complain,投诉语境,yingxiao-yangqianguan,,,3.0
298,2.1,m_complain,投诉语境,yingxiao-yangqianguan,,,3.0
299,2.2,m_complain,投诉语境,yingxiao-yangqianguan,,,3.0
300,1.1,z_askrate,询问利率,yingxiao-yangqianguan,,,2.0
301,2.1,z_askrate,询问利率,yingxiao-yangqianguan,,,2.0
302,2.2,z_askrate,询问利率,yingxiao-yangqianguan,,,2.0
303,1.1,m_applied,已办理,yingxiao-yangqianguan,,,3.0
304,2.1,m_applied,已办理,yingxiao-yangqianguan,,,3.0
305,2.2,m_applied,已办理,yingxiao-yangqianguan,,,3.0
306,1.1,-99,无效语义,yingxiao-yangqianguan,,,4.0
307,2.1,-99,无效语义,yingxiao-yangqianguan,,,4.0
308,2.2,-99,无效语义,yingxiao-yangqianguan,,,4.0
309,1.1,z_askmoney,询问金额,dianxincuishou,,,2.0
310,2.1,z_askmoney,询问金额,dianxincuishou,,,2.0
311,2.2,z_askmoney,询问金额,dianxincuishou,,,2.0
312,3.2,z_askmoney,询问金额,dianxincuishou,,,2.0
313,3.3,z_askmoney,询问金额,dianxincuishou,,,2.0
314,1.1,z_askbill,询问账单,dianxincuishou,,,2.0
315,2.1,z_askbill,询问账单,dianxincuishou,,,2.0
316,2.2,z_askbill,询问账单,dianxincuishou,,,2.0
317,3.2,z_askbill,询问账单,dianxincuishou,,,2.0
318,3.3,z_askbill,询问账单,dianxincuishou,,,2.0
319,1.1,z_askmethod,询问处理方式,dianxincuishou,,,2.0
320,2.1,z_askmethod,询问处理方式,dianxincuishou,,,2.0
321,2.2,z_askmethod,询问处理方式,dianxincuishou,,,2.0
322,3.2,z_askmethod,询问处理方式,dianxincuishou,,,2.0
323,3.3,z_askmethod,询问处理方式,dianxincuishou,,,2.0
324,1.1,z_forget,遗忘语境,dianxincuishou,,,2.0
325,2.1,z_forget,遗忘语境,dianxincuishou,,,2.0
326,2.2,z_forget,遗忘语境,dianxincuishou,,,2.0
327,3.2,z_forget,遗忘语境,dianxincuishou,,,2.0
328,3.3,z_forget,遗忘语境,dianxincuishou,,,2.0
329,1.1,m_refuse,拒绝交费,dianxincuishou,,,3.0
330,2.1,m_refuse,拒绝交费,dianxincuishou,,,3.0
331,2.2,m_refuse,拒绝交费,dianxincuishou,,,3.0
332,3.2,m_refuse,拒绝交费,dianxincuishou,,,3.0
333,3.3,m_refuse,拒绝交费,dianxincuishou,,,3.0
334,1.1,z_wait,等待语境,dianxincuishou,,,2.0
335,2.1,z_wait,等待语境,dianxincuishou,,,2.0
336,2.2,z_wait,等待语境,dianxincuishou,,,2.0
337,3.2,z_wait,等待语境,dianxincuishou,,,2.0
338,3.3,z_wait,等待语境,dianxincuishou,,,2.0
339,1.1,2.1,肯定+本人(民生),xinyongkashoucui,,,1.0
340,1.1,2.2,否定+非本人+关联人+非关联人,xinyongkashoucui,,,1.0
341,2.1,3.1,不认可金额,xinyongkashoucui,,,1.0
342,2.1,3.4,不清楚借款+遗忘语境,xinyongkashoucui,,,1.0
343,2.2,3.5,肯定+关联人+同意转告,xinyongkashoucui,,,1.0
344,2.2,3.6,否定+非关联人+不同意转告,xinyongkashoucui,,,1.0
345,2.1,5.1,肯定+同意今日还款,xinyongkashoucui,,,1.0
346,2.1,4.2,否定+不同意今日还款+同意明日还款,xinyongkashoucui,,,1.0
347,3.4,4.5,否定+不清楚借款+遗忘语境,xinyongkashoucui,,,1.0
348,3.5,4.6,肯定+同意转告,xinyongkashoucui,,,1.0
349,3.5,4.7,否定+不同意转告+非关联人,xinyongkashoucui,,,1.0
350,4.2,6.1,肯定+同意今日还款,xinyongkashoucui,,,1.0
351,4.2,5.4,否定+同意明日还款+不同意明日还款,xinyongkashoucui,,,1.0
352,3.4,6.3,肯定+同意今日还款,xinyongkashoucui,,,1.0
353,3.4,5.6,否定+不同意今日还款,xinyongkashoucui,,,1.0
354,5.6,7.1,肯定+同意今日还款,xinyongkashoucui,,,1.0
355,5.6,6.6,否定+不同意明日还款+同意明日还款,xinyongkashoucui,,,1.0
356,2.1,z_askcompany,询问机构,xinyongkashoucui,,,2.0
357,3.2,z_askcompany,询问机构,xinyongkashoucui,,,2.0
358,3.4,z_askcompany,询问机构,xinyongkashoucui,,,2.0
359,4.2,z_askcompany,询问机构,xinyongkashoucui,,,2.0
360,4.4,z_askcompany,询问机构,xinyongkashoucui,,,2.0
361,5.6,z_askcompany,询问机构,xinyongkashoucui,,,2.0
362,2.1,z_askmoney,询问金额,xinyongkashoucui,,,2.0
363,3.2,z_askmoney,询问金额,xinyongkashoucui,,,2.0
364,3.4,z_askmoney,询问金额,xinyongkashoucui,,,2.0
365,4.2,z_askmoney,询问金额,xinyongkashoucui,,,2.0
366,4.4,z_askmoney,询问金额,xinyongkashoucui,,,2.0
367,5.6,z_askmoney,询问金额,xinyongkashoucui,,,2.0
368,2.1,z_asktime,询问时间,xinyongkashoucui,,,2.0
369,3.2,z_asktime,询问时间,xinyongkashoucui,,,2.0
370,3.4,z_asktime,询问时间,xinyongkashoucui,,,2.0
371,4.2,z_asktime,询问时间,xinyongkashoucui,,,2.0
372,4.4,z_asktime,询问时间,xinyongkashoucui,,,2.0
373,5.6,z_asktime,询问时间,xinyongkashoucui,,,2.0
374,1.1,m_paid,已还款,xinyongkashoucui,,,3.0
375,2.1,m_paid,已还款,xinyongkashoucui,,,3.0
376,3.2,m_paid,已还款,xinyongkashoucui,,,3.0
377,3.4,m_paid,已还款,xinyongkashoucui,,,3.0
378,4.2,m_paid,已还款,xinyongkashoucui,,,3.0
379,4.4,m_paid,已还款,xinyongkashoucui,,,3.0
380,5.6,m_paid,已还款,xinyongkashoucui,,,3.0
381,1.1,m_complain,投诉语境,xinyongkashoucui,,,3.0
382,2.1,m_complain,投诉语境,xinyongkashoucui,,,3.0
383,2.2,m_complain,投诉语境,xinyongkashoucui,,,3.0
384,3.2,m_complain,投诉语境,xinyongkashoucui,,,3.0
385,3.4,m_complain,投诉语境,xinyongkashoucui,,,3.0
386,3.5,m_complain,投诉语境,xinyongkashoucui,,,3.0
387,4.2,m_complain,投诉语境,xinyongkashoucui,,,3.0
388,4.4,m_complain,投诉语境,xinyongkashoucui,,,3.0
389,5.6,m_complain,投诉语境,xinyongkashoucui,,,3.0
390,1.1,m_busy,在忙语境,xinyongkashoucui,,,3.0
391,2.1,m_busy,在忙语境,xinyongkashoucui,,,3.0
392,2.2,m_busy,在忙语境,xinyongkashoucui,,,3.0
393,3.2,m_busy,在忙语境,xinyongkashoucui,,,3.0
394,3.4,m_busy,在忙语境,xinyongkashoucui,,,3.0
395,3.5,m_busy,在忙语境,xinyongkashoucui,,,3.0
396,4.2,m_busy,在忙语境,xinyongkashoucui,,,3.0
397,4.4,m_busy,在忙语境,xinyongkashoucui,,,3.0
398,5.6,m_busy,在忙语境,xinyongkashoucui,,,3.0
399,1.1,z_askmethod,询问处理方式,xinyongkashoucui,,,2.0
400,2.1,z_askmethod,询问处理方式,xinyongkashoucui,,,2.0
401,2.2,z_askmethod,询问处理方式,xinyongkashoucui,,,2.0
402,3.2,z_askmethod,询问处理方式,xinyongkashoucui,,,2.0
403,3.4,z_askmethod,询问处理方式,xinyongkashoucui,,,2.0
404,3.5,z_askmethod,询问处理方式,xinyongkashoucui,,,2.0
405,4.2,z_askmethod,询问处理方式,xinyongkashoucui,,,2.0
406,4.4,z_askmethod,询问处理方式,xinyongkashoucui,,,2.0
407,5.6,z_askmethod,询问处理方式,xinyongkashoucui,,,2.0
